연번,업종,업태,업소명,소재지(도로명),메뉴,전화번호,최초지정일자
1,일반음식점,한식,여로수산도매회센타,부산광역시 사상구 백양대로 977-1 (모라동),생선회, 051- 312-2881,2012-10-31
2,일반음식점,한식,곰보식당,부산광역시 사상구 낙동대로 1564 (삼락동),안심,051 -304 -7733,2011-10-31
3,일반음식점,한식,삼락하동재첩국,부산광역시 사상구 낙동대로1518번길 33 (삼락동),재첩국, 051-301 -7200,2011-10-31
4,일반음식점,한식,원산갈비,부산광역시 사상구 광장로81번길 27 (괘법동),돼지갈비, 051- 327-2127,2011-10-31
5,일반음식점,한식,예향,부산광역시 사상구 동주로 6-7 (주례동),생갈비,051 -316 -9966,2011-10-31
6,일반음식점,한식,청원복집,부산광역시 사상구 백양대로907번길 25 (모라동),복국,051 -311 -3558,2011-10-31
7,일반음식점,중국식,만리장성,부산광역시 사상구 새벽시장로56번길 37 (감전동),자장면,051 -327 -6652,2013-11-22
8,일반음식점,한식,외갓집 꼬리 곰탕,부산광역시 사상구 낙동대로 722 (엄궁동),해장국,051 -324 -5552,2011-10-31
9,일반음식점,한식,밥앤락,부산광역시 사상구 새벽시장로103번길 12 (감전동),정식,051 -315 -3160,2013-04-25
10,일반음식점,한식,대궐안집 ,부산광역시 사상구 광장로 68 (괘법동),소갈비, 051- 322-1223,2011-10-31
11,일반음식점,한식,(주)마하 도피안 ,부산광역시 사상구 광장로 50 (괘법동),안창살, 051- 327-0044,2011-10-31
12,일반음식점,한식,왕호돌왕갈비,부산광역시 사상구 사상로 285 (덕포동),돼지갈비,051 -302 -0460,2011-10-31
13,일반음식점,한식,소문난복국,"부산광역시 사상구 새벽로202번길 10, 1층 (괘법동)",복국, 051- 322-4888,2011-10-31
14,일반음식점,한식,오륙도낙지,부산광역시 사상구 모라로 64 (모라동),낙지전골, 051- 301-5253,2011-10-31
15,일반음식점,한식,삼락식당,부산광역시 사상구 사상로233번길 10 (괘법동),재첩국,051 -328 -4140,2011-10-31
16,일반음식점,한식,밥상예찬,부산광역시 사상구 새벽로 218 (괘법동),정식,051 -317 -2071,2015-11-25
17,일반음식점,한식,구덕민속촌,부산광역시 사상구 학감대로39번안길 15-17 (학장동),생갈비, 051- 311-0127,2011-10-31
18,일반음식점,한식,(주)합천일류돼지국밥,부산광역시 사상구 광장로 34 (괘법동),돼지국밥, 051- 317-2478,2011-10-31
19,일반음식점,한식,주왕산삼계탕,부산광역시 사상구 광장로 34 (괘법동),삼계탕,051 -313 -3328,2011-10-31
20,일반음식점,한식,백도횟집,부산광역시 사상구 주례로10번길 53 (주례동),생선회, 051- 316-4715,2011-10-31
21,일반음식점,한식,황토민물장어구이,부산광역시 사상구 새벽로202번길 10 (괘법동),장어구이, 051- 324-8892,2011-10-31
22,일반음식점,한식,고집불통,부산광역시 사상구 백양대로 463 (주례동),삼겹살, 051- 315-8227,2011-10-31
23,일반음식점,한식,대박집,부산광역시 사상구 학장로 330 (주례동),대패삼겹살,051 -317 -9290,2011-10-31
24,일반음식점,한식,황금곰장어,부산광역시 사상구 가야대로282번길 26 (주례동),곰장어,051 -322 -5205,2011-10-31
25,일반음식점,한식,조방낙지,부산광역시 사상구 가야대로 337 (주례동),낙지전골, 051- 325-9292,2012-04-27
26,일반음식점,한식,쌈촌주례점,부산광역시 사상구 백양대로 362 (주례동),쌈밥,051 -311 -4690,2012-04-27
